User_ID;ISBN;Book_Rating
268729;8501052981;0
260790;0446360872;9
260790;0446600709;9
131353;8525033464;9
131353;8571644950;9
96303;0425121631;0
271677;0380012057;0
271677;0440234999;0
271677;0582402298;7
271677;8501035289;0
271677;8508052995;7
271677;8508057512;9
272008;0060011572;10
272008;0061056774;8
272008;0786001674;0
272008;85.254.12333;10
151355;0060928832;5
151355;8588319594;0
244479;8531102340;10
244539;8520909310;0
244539;8573024747;0
185026;853361201X;0
202488;01420.0174;9
203049;8501049751;0
274600;8532306233;0
274600;8533202911;0
274600;8572720073;0
274600;8585405066;0
275385;8500008091;9
275385;8521902069;10
275385;8528608204;7
275473;0003701387;9
275473;0894803204;8
275473;1852834609;9
275473;1855018160;10
275473;8502025724;0
275473;8502028235;0
275473;8502030108;10
275473;851501968X;0
275473;8522425256;9
275473;8523000240;9
275473;8525410594;0
275473;8533616783;0
275473;8535601678;0
275473;8571236380;10
275473;8571644756;10
275473;8573023066;9
275473;8573023953;9
275473;8573024496;0
275473;857429036X;9
275473;8574971391;0
275473;8575420070;0
275473;8585450010;9
275473;8586469505;10
275473;8588485036;0
275473;9726092345;9
275473;9726092353;9
275580;8501013579;8
173561;631951068;10
173561;85080070993;6
173561;8508054319;0
173581;8571647535;4
217856;857402032XPUB;8
12330;0099276852;0
12330;0345422384;7
12330;0440225817;7
12330;8521902069;10
12330;8528608867;10
12330;853251622X;10
36339;8571643806;0
263192;8533604440;10
161251;853590249X;9
247121;0375718850;8
247121;8501012076;0
247121;8501019437;0
57489;8520908330;7
57698;857374.7366;10
266817;85852470291;8
58330;858602872X;10
13436;852804848;10
207486;8533613377;0
13892;8586637246;7
78114;0582451930;6
78119;8571641668;0
78147;8573121890;4
180285;8500008822;0
180350;8571644829;8
142870;037570504X;0
143044;8571648395;8
14500;8571645094;0
117722;0440217598;0
117722;0505520303;9
117722;0505523000;10
117722;0743477081;7
117722;0821732951;10
117722;0843944579;10
133096;0425157784;7
133096;0451410556;7
133096;0671004107;9
98661;8501049638;10
180804;8571644187;10
180804;8574023477;7
15953;8501060038;7
38418;0446340952;10
38418;0971880107;0
38458;8585617020;10
38458;8586280070;10
153157;8574795631;10
153192;8574210226;10
60516;8571643164;3
78933;0435272586;9
78933;0803928319;6
78933;0804118728;9
78933;1557507651;7
78933;8500009047;10
78933;8500013230;9
78933;8508018983;10
78933;8508027702;10
78933;8508029802;9
78933;8508033702;10
78933;8508040154;10
78933;8525005037;10
78933;8532511015;10
78933;853251166X;10
78933;8532512062;10
78933;8532512526;10
78933;853251622X;8
78933;8533613334;10
78933;8533613814;10
78933;8533615167;9
78933;8571647607;10
78933;8573024607;8
119944;1400030382;0
39131;8585170093;0
61146;0064407667;9
61146;0064407675;8
61146;0312291639;0
61146;0373218095;5
61146;0373250452;6
61146;0380811987;5
61146;0425192776;0
61146;044023719X;4
61146;0441008534;8
61146;0553382349;5
61146;0743456238;4
16684;0156007754;9
16684;850115413X;9
16684;8535900683;7
16684;8535900772;8
16684;8535901809;7
16684;8535902287;8
16684;8571641145;9
16684;8571647658;0
162119;0553013653;0
181193;0064400042;9
120515;0060256656;8
120515;0156007754;0
120515;0394830148;0
120515;039489748X;0
120515;0440442508;0
120515;0446340952;0
120515;0451519841;10
120515;0486270696;0
120515;0590254960;0
120515;0590483692;0
120515;0723247994;0
120515;0971880107;0
120515;2070378233;0
120515;2234054036;8
120515;2246615011;0
120515;2253038040;0
120515;2253155756;0
120515;2258009545;0
120515;2266023039;0
120515;226612269X;7
